01/03/2020,TELUS MOBILITY #8210 TORONTO,73.43,0,-2517.4
01/03/2020,PAYMENT - THANK YOU,0,100.0,-2617.4
01/08/2020,ONLYFANS.COM (USD),13.24,0,-2604.16
01/11/2020,PRESTO TORONTO,20.0,0,-2584.16
01/17/2020,BEST BUY #943 SCARBOROUGH,146.89,0,-2437.27
01/17/2020,PAYMENT - THANK YOU,0,100.0,-2537.27
01/20/2020,PRESTO TORONTO,20.0,0,-2517.27
01/20/2020,PAYMENT - THANK YOU,0,200.0,-2717.27
01/21/2020,MSFT * Subscription,12.43,0,-2704.84
01/23/2020,WKZRESUME BUILDER,34.95,0,-2669.89
02/04/2020,PRESTO TORONTO,20.0,0,-2649.89
02/25/2020,PAL AIR ECOM (USD),3580.15,0,930.26
02/26/2020,Microsoft Office 365,12.43,0,942.69
02/26/2020,PRESTO TORONTO,20.0,0,962.69
03/02/2020,DAMAS MEDITERRANEAN GRILL,14.68,0,977.37
03/02/2020,Philippine Airline,1018.41,0,1995.78
03/05/2020,THAI EXPRESS TORONTO,14.32,0,2010.1
03/05/2020,PAYMENT - THANK YOU,0,100.0,1910.1
03/09/2020,GOOGLE *YouTube Videos,5.99,0,1916.09
03/09/2020,PAYMENT - THANK YOU,0,100.0,1816.09
04/15/2020,PAYMENT - THANK YOU,0,100.0,1716.09
04/16/2020,WKZRESUME BUILDER,34.95,0,1751.04
04/20/2020,REFUND - WKZRESUME BUILDER,0,34.95,1716.09
04/23/2020,MSFT * Subscription,12.43,0,1728.52
04/27/2020,PAYMENT - THANK YOU,0,200.0,1528.52
04/29/2020,PAYMENT - THANK YOU,0,1000.0,528.52
05/05/2020,IKEA CLICK AND COLLECT,608.79,0,1137.31
05/08/2020,IKEA CLICK AND COLLECT,428.82,0,1566.13
05/19/2020,ALUACS.COM (USD),42.95,0,1609.08
05/20/2020,ALUACS.COM (USD),28.61,0,1637.69
05/20/2020,PAYMENT - THANK YOU,0,500.0,1137.69
06/05/2020,CHEAPOAIR.CA,214.14,0,1351.83
06/15/2020,BBYMarketpla*Olde Time Ma,1580.86,0,2932.69
06/22/2020,CRUNCHYROLL *ANIME,8.39,0,2941.08
06/23/2020,PAYMENT - THANK YOU,0,1000.0,1941.08
07/04/2020,BAI HOTEL CEBU (PHP),4.31,0,1945.39
07/06/2020,BAI HOTEL CEBU-ECOM,186.36,0,2131.75
07/07/2020,BAI HOTEL CEBU (PHP),4.32,0,2136.07
07/08/2020,SAVE MORE PARKMALL (PHP),145.83,0,2281.9
07/08/2020,PAYMENT - THANK YOU,0,500.0,1781.9
09/04/2020,SKIPTHEDISHES,28.91,0,1810.81
09/05/2020,Spotify,9.99,0,1820.8
09/08/2020,WAL-MART SUPERCENTER,327.67,0,2148.47
09/10/2020,TELUS WARDEN/EGLINTON,153.54,0,2302.01
09/12/2020,PRESTO TORONTO,20.0,0,2322.01
10/07/2020,NETFLIX.COM,16.99,0,2339.0
10/08/2020,NICK & MIRAS NO FRILL,11.66,0,2350.66
10/11/2020,Name.com (USD),41.93,0,2392.59
10/14/2020,PAYMENT - THANK YOU,0,200.0,2192.59
10/15/2020,KFC SCARBOROUGH,14.45,0,2207.04
11/03/2020,KFC #1909 SCARBOROUGH,13.32,0,2220.36
11/03/2020,PRESTO TORONTO,20.0,0,2240.36
11/03/2020,TAGPUAN INC. NORTH YORK,5.0,0,2245.36
11/03/2020,URBAN PLANET SCARBOROUGH,21.45,0,2266.81
11/03/2020,PAYMENT - THANK YOU,0,300.0,1966.81
11/04/2020,NICK & MIRAS NO FRILL,60.41,0,2027.22
11/04/2020,HONG TAI SUPERMARKET,87.1,0,2114.32
11/05/2020,Spotify,9.99,0,2124.31
